market_cap_cr,div_yield,roce,roe,pb,revenue_cagr_3y,ticker,pe
43531.0,0.53,17.6,13.5,6.85,0.1414,VOLTAS,84.0
87821.0,0.45,6.71,5.29,3.91,0.045,SHREECEM,49.0
73465.0,0.1,12.4,22.3,,,AUBANK,216.0
43790.0,0.23,19.7,14.9,11.56,0.0611,ASTRAL,85.0
100574.0,0.0,6.92,,-36.76,0.2719,GMRAIRPORT,
57979.0,0.17,13.6,10.6,2.98,0.0947,MRF,25.4
289572.0,0.06,11.0,13.4,3.78,0.2203,BAJAJFINSV,29.5
99081.0,1.38,45.2,41.3,24.46,0.1003,MARICO,57.8
14502.0,0.82,4.3,2.51,1.64,-0.0564,CHENNPETRO,6.74
63069.0,0.14,10.8,9.36,5.84,0.1715,PHOENIXLTD,57.1
57110.0,0.0,8.13,7.26,10.75,0.1617,MFSL,398.0
108228.0,0.75,9.16,7.01,5.34,0.1219,TATACONSUM,74.6
240904.0,1.08,96.3,83.5,54.3,0.0464,NESTLEIND,77.1
186640.0,0.36,7.5,3.95,1.87,0.1275,GRASIM,40.5
40215.0,2.5,59.4,48.5,28.55,0.026,PAGEIND,51.9
49336.0,0.35,19.7,14.4,11.7,0.1453,BDL,85.1
19920.0,0.31,6.06,4.69,1.23,,RBLBANK,27.6
89592.0,0.0,9.33,11.5,2.78,,ABCAPITAL,25.2
69738.0,0.99,8.71,10.8,2.65,,LTF,24.6
11788.0,0.0,10.3,6.85,0.92,-0.0157,JPPOWER,19.0
110046.0,0.45,10.5,8.73,1.95,0.0067,AMBUJACEM,28.6
59873.0,0.0,6.36,5.46,1.19,,YESBANK,18.9
18340.0,0.27,14.3,14.1,3.69,0.1193,BELRISE,38.1
29363.0,0.27,13.1,10.4,13.57,0.2101,JUBLFOOD,88.7
16043.0,0.0,28.0,105.0,16.81,0.6146,EMMVEE,30.1
115142.0,0.18,37.5,27.7,15.42,0.1893,CGPOWER,103.0
10426.0,0.0,6.15,-1.08,0.63,0.0086,RPOWER,36.9
15203.0,0.15,-0.16,-2.45,4.03,-0.4275,ABREL,
192900.0,0.14,16.9,15.1,10.12,0.1765,SBILIFE,77.8
140631.0,0.77,27.0,26.5,16.62,0.0982,TORNTPHARM,61.0
61046.0,0.12,19.4,15.8,6.36,0.0823,GLENMARK,22.6
127347.0,0.07,38.1,32.6,24.91,0.0897,SOLARINDS,87.7
67348.0,2.74,6.17,12.4,0.78,,BANKINDIA,6.61
22586.0,2.63,20.8,16.4,2.01,0.0412,IGL,13.6
54419.0,0.93,7.66,3.29,1.71,-0.0288,UPL,28.6
42628.0,0.1,21.3,15.6,6.89,0.1743,KEI,49.5
77437.0,2.48,7.42,7.53,1.88,0.0167,NHPC,24.5
10829.0,0.22,40.1,28.6,6.06,0.1414,ACE,25.6
44176.0,0.1,41.1,53.6,12.8,0.7155,PREMIERENE,33.2
27582.0,0.62,8.65,5.74,1.87,0.0528,EXIDEIND,33.1
14460.0,0.14,14.2,16.1,10.2,0.151,JBMA,66.7
110316.0,1.86,19.2,15.2,9.06,0.0447,GODREJCP,56.8
56952.0,0.38,6.22,4.21,1.21,,IDFCFIRSTB,36.2
15888.0,0.19,19.2,15.1,5.1,0.0185,GALLANTT,33.1
63570.0,0.56,23.2,16.9,5.22,0.0093,COROMANDEL,30.0
31680.0,0.19,11.7,11.5,8.79,0.14,NAVINFLUOR,56.4
64736.0,0.0,6.47,4.02,1.0,,INDUSINDBK,
79579.0,2.84,6.78,13.6,1.14,,IDBI,8.57
19179.0,1.67,14.1,10.9,2.86,-0.0912,GMDCLTD,30.0
78373.0,0.3,14.2,11.1,2.24,0.1011,AUROPHARMA,22.2
54295.0,2.12,5.72,22.8,1.63,,MAHABANK,8.39
91313.0,0.35,17.2,16.1,7.9,0.1718,INDHOTEL,50.6
37394.0,0.14,16.0,13.3,12.58,0.2315,RADICO,70.6
34756.0,0.48,9.37,18.0,2.7,,IREDA,18.5
13384.0,0.0,6.42,0.54,8.65,0.2157,DEVYANI,
69755.0,2.52,13.3,11.0,0.99,0.0447,GICRE,7.24
17291.0,3.07,18.9,14.4,1.92,0.1229,REDINGTON,12.3
20253.0,0.27,27.3,20.6,10.21,0.3235,HBLENGINE,24.8
15725.0,0.82,32.8,25.0,10.74,0.1977,KFINTECH,44.5
41128.0,1.19,14.9,20.6,4.39,0.2494,360ONE,34.9
62246.0,0.21,18.8,17.5,9.98,0.1882,UNOMINDA,53.8
26579.0,0.0,15.0,18.5,11.71,0.1817,KIMS,90.6
16493.0,0.0,5.53,3.34,2.79,2.3136,ONESOURCE,540.0
8448.0,0.07,28.0,23.4,6.27,0.1985,TARIL,31.7
76662.0,2.44,12.9,13.3,1.36,-0.0248,OIL,13.2
63131.0,3.65,40.6,29.3,8.56,0.0872,OFSS,25.9
23759.0,0.13,22.0,16.4,5.84,0.0262,HSCL,33.6
11332.0,2.71,9.81,10.5,1.33,-0.0118,SCI,10.0
19641.0,1.19,40.0,32.5,6.02,0.2307,KPITTECH,25.8
85905.0,0.41,6.49,7.41,2.93,0.1941,JSWENERGY,37.1
14248.0,0.71,21.1,20.0,9.14,0.0683,ABDL,53.1
17576.0,1.59,3.96,1.2,0.79,-0.0443,TATACHEM,64.6
34749.0,0.53,26.2,20.6,11.19,0.1568,BLUESTARCO,65.0
11878.0,0.69,33.6,34.3,5.57,0.2379,BLS,18.4
60783.0,0.48,17.7,14.7,3.63,0.0886,OBEROIRLTY,27.0
26161.0,0.69,7.82,5.91,1.28,0.0712,IRB,32.8
16305.0,0.31,13.5,10.5,3.43,0.0522,SYNGENE,39.8
27076.0,0.89,7.82,11.9,1.1,,BANDHANBNK,26.9
40611.0,3.69,25.4,21.2,1.92,-0.0818,PETRONET,11.2
145965.0,1.17,53.9,41.8,8.31,0.0499,HYUNDAI,25.2
53508.0,0.0,13.1,10.1,7.7,0.1761,VMM,68.0
27227.0,0.77,7.38,17.6,2.14,,KARURVYSYA,11.8
33679.0,0.41,1.21,1.02,1.06,0.1053,TATAINVEST,82.6
22651.0,1.31,11.0,10.1,1.79,,MANAPPURAM,55.5
12717.0,0.0,-0.4,-4.07,2.67,0.1387,FIRSTCRY,
77280.0,1.84,20.2,17.0,7.06,0.0404,DABUR,41.6
17566.0,0.15,11.2,10.9,4.0,0.3596,ANANTRAJ,33.3
48301.0,0.89,22.0,17.1,8.45,0.0521,SUPREMEIND,59.3
80396.0,0.78,25.3,18.8,9.29,0.0977,HAVELLS,52.9
13917.0,0.13,37.2,26.1,7.74,0.5622,ZENTEC,53.1
27693.0,1.69,60.0,39.3,97.69,0.1635,TATAELXSI,271.0
35200.0,0.0,2.47,1.52,3.7,0.1088,DELHIVERY,195.0
8199.0,0.0,-12.7,,-14.6,,TTML,
81879.0,0.0,4.89,3.85,4.38,1.472,NTPCGREEN,147.0
16749.0,0.17,11.7,9.45,5.95,0.2783,SYRMA,58.9
5464.0,0.0,5.76,2.03,3.93,0.1034,SAPPHIRE,
43409.0,0.38,16.2,13.6,8.59,0.0856,THERMAX,67.8
11094.0,1.01,28.2,21.3,6.06,0.1076,CONCORDBIO,35.2
52741.0,2.63,179.0,158.0,160.25,0.1493,COLPAL,122.0
24079.0,0.75,33.2,25.5,9.02,0.1348,NBCC,36.3
74298.0,0.0,9.59,5.16,53.4,0.2241,NYKAA,491.0
41991.0,2.15,8.77,10.9,1.7,,M&MFIN,17.0
100194.0,0.14,67.8,50.5,22.88,,ENRIN,82.1
36839.0,1.9,13.9,10.8,2.88,0.0368,CONCOR,28.8
